frame,time_s,body_x,body_y,far_ep_x,far_ep_y,near_ep_x,near_ep_y,t_along
205,6.8667,414,741,208,461,429,1152,0.454106
206,6.9,416,743,208,461,429,1152,0.457572
207,6.9333,417,746,208,461,429,1152,0.46193
208,6.9667,420,747,208,461,429,1152,0.464503
209,7.0,424,734,208,461,429,1151,0.449776
210,7.0333,428,726,207,461,429,1151,0.441414
211,7.0667,429,732,207,461,429,1151,0.449717
212,7.1,433,737,207,461,429,1151,0.457974
213,7.1333,435,749,207,461,429,1151,0.474579
214,7.1667,440,765,206,461,428,1151,0.498127
215,7.2,444,779,206,461,428,1151,0.518204
216,7.2333,448,787,206,461,428,1151,0.530401
217,7.2667,452,790,205,460,427,1150,0.537767
218,7.3,453,802,205,460,427,1150,0.553949
219,7.3333,454,812,205,460,426,1150,0.567509
220,7.3667,454,821,204,460,425,1150,0.57976
221,7.4,454,815,204,460,425,1150,0.571874
222,7.4333,454,809,203,460,424,1149,0.565228
223,7.4667,455,809,203,460,424,1149,0.56565
224,7.5,455,812,202,460,423,1149,0.57002
225,7.5333,456,817,202,459,422,1149,0.577502
226,7.5667,457,821,202,459,422,1148,0.584029
227,7.6,462,836,201,459,421,1148,0.606309
228,7.6333,466,838,201,459,421,1148,0.610625
229,7.6667,471,856,200,459,420,1147,0.637776
230,7.7,476,871,199,459,419,1147,0.660086
231,7.7333,483,873,199,459,419,1147,0.665675
232,7.7667,488,887,199,459,418,1147,0.686268
233,7.8,491,914,198,458,418,1146,0.724854
234,7.8333,495,931,198,458,417,1146,0.749018
235,7.8667,497,948,197,457,417,1146,0.772859
236,7.9,497,947,197,457,416,1146,0.771616
237,7.9333,493,949,196,457,415,1146,0.772996
238,7.9667,495,950,196,457,415,1146,0.775152
239,8.0,495,958,195,457,414,1146,0.786117
240,8.0333,503,967,195,456,414,1145,0.802651
241,8.0667,509,959,194,456,413,1145,0.795038
242,8.1,509,956,194,456,412,1145,0.791142
243,8.1333,529,958,193,456,412,1145,0.802519
244,8.1667,537,975,193,456,411,1145,0.828314
245,8.2,541,994,192,456,411,1145,0.855421
246,8.2333,549,1016,192,456,410,1145,0.887832
247,8.2667,558,1039,192,456,410,1145,0.921933
248,8.3,564,1068,191,455,409,1144,0.964434
249,8.3333,574,1082,191,455,409,1145,0.985677
250,8.3667,579,1091,190,455,409,1144,1.001364
251,8.4,579,1106,190,455,408,1144,1.021247
252,8.4333,583,1095,189,455,408,1144,1.008732
253,8.4667,590,1113,189,455,407,1144,1.035491
254,8.5,587,1114,189,455,407,1144,1.035558
255,8.5333,608,1129,188,455,406,1144,1.064531
256,8.5667,605,1133,188,455,406,1144,1.068556
257,8.6,603,1139,188,455,405,1143,1.07727
258,8.6333,599,1140,187,455,405,1143,1.077233
259,8.6667,601,1139,187,455,405,1143,1.076749
260,8.7,603,1151,187,455,405,1143,1.093436
261,8.7333,607,1197,187,455,404,1143,1.15603
262,8.7667,611,1246,186,455,404,1143,1.222686
263,8.8,614,1252,186,455,403,1143,1.232074
264,8.8333,619,1234,185,455,403,1143,1.210602
265,8.8667,628,1255,185,455,402,1143,1.242294
266,8.9,641,1293,185,454,402,1143,1.297451
267,8.9333,648,1311,185,454,401,1143,1.324341
268,8.9667,645,1337,184,454,401,1143,1.357628
269,9.0,656,1376,184,454,401,1143,1.413698
270,9.0333,654,1386,184,454,400,1143,1.426354
271,9.0667,640,1362,183,454,400,1143,1.388975
272,9.1,640,1326,183,454,400,1144,1.339571
